Entity ID,API/UWI,API/UWI List,Monthly Production Date,Monthly Oil,Monthly Gas,Monthly Water,Well Count,Days,Daily Avg Oil,Daily Avg Gas,Daily Avg Water,Reservoir,Well/Lease Name,Well Number,Operator Company Name,Production Type,Production Status,Entity Type,Producing Month Number
130784782,30025472710000,3002547271,2020-12-01,43849,92934,82056,1,14,3132.07,6638.14,5861.14,UPPER WOLFCAMP,GETTY 5 FEDERAL COM,705H,EOG RESOURCES,OIL,ACTIVE,COM,1
130776039,30025471490000,3002547149,2020-12-01,38897,78864,68869,1,14,2778.36,5633.14,4919.21,UPPER WOLFCAMP,GETTY 5 FEDERAL COM,704H,EOG RESOURCES,OIL,ACTIVE,COM,1
130776025,30025471500000,3002547150,2020-12-01,44490,87077,76766,1,14,3177.86,6219.79,5483.29,UPPER WOLFCAMP,GETTY 5 FEDERAL COM,706H,EOG RESOURCES,OIL,ACTIVE,COM,1
130776020,30025471480000,3002547148,2020-12-01,43930,88507,72476,1,14,3137.86,6321.93,5176.86,UPPER WOLFCAMP,GETTY 5 FEDERAL COM,703H,EOG RESOURCES,OIL,ACTIVE,COM,1
130776018,30025471510000,3002547151,2020-12-01,44583,89068,67849,1,12,3715.25,7422.33,5654.08,UPPER WOLFCAMP,GETTY 5 FEDERAL COM,707H,EOG RESOURCES,OIL,ACTIVE,COM,1
130776007,30025471470000,3002547147,2020-12-01,49524,98566,68289,1,14,3537.43,7040.43,4877.79,UPPER WOLFCAMP,GETTY 5 FEDERAL COM,702H,EOG RESOURCES,OIL,ACTIVE,COM,1
130775990,30025471460000,3002547146,2020-12-01,30436,63551,42884,1,12,2536.33,5295.92,3573.67,UPPER WOLFCAMP,GETTY 5 FEDERAL COM,701H,EOG RESOURCES,OIL,ACTIVE,COM,1
130775980,30025471520000,3002547152,2020-12-01,34619,75636,56981,1,12,2884.92,6303.00,4748.42,UPPER WOLFCAMP,GETTY 5 FEDERAL COM,708H,EOG RESOURCES,OIL,ACTIVE,COM,1
130550927,30025462120000,3002546212,2020-03-01,56279,85336,137846,1,30,1875.97,2844.53,4594.87,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,502H,EOG RESOURCES,OIL,ACTIVE,COM,1
130550927,30025462120000,3002546212,2020-04-01,29728,46530,56635,1,29,1025.10,1604.48,1952.93,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,502H,EOG RESOURCES,OIL,ACTIVE,COM,2
130550927,30025462120000,3002546212,2020-05-01,21993,33693,40267,1,31,709.45,1086.87,1298.94,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,502H,EOG RESOURCES,OIL,ACTIVE,COM,3
130550927,30025462120000,3002546212,2020-06-01,2567,4402,4659,1,4,641.75,1100.50,1164.75,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,502H,EOG RESOURCES,OIL,ACTIVE,COM,4
130550927,30025462120000,3002546212,2020-07-01,21707,34615,37933,1,31,700.23,1116.61,1223.65,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,502H,EOG RESOURCES,OIL,ACTIVE,COM,5
130550927,30025462120000,3002546212,2020-08-01,17041,29912,30181,1,31,549.71,964.90,973.58,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,502H,EOG RESOURCES,OIL,ACTIVE,COM,6
130550927,30025462120000,3002546212,2020-09-01,14265,25100,25214,1,30,475.50,836.67,840.47,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,502H,EOG RESOURCES,OIL,ACTIVE,COM,7
130550927,30025462120000,3002546212,2020-10-01,8802,16367,15347,1,23,382.70,711.61,667.26,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,502H,EOG RESOURCES,OIL,ACTIVE,COM,8
130550927,30025462120000,3002546212,2020-11-01,7824,14419,30140,1,16,489.00,901.19,1883.75,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,502H,EOG RESOURCES,OIL,ACTIVE,COM,9
130550927,30025462120000,3002546212,2020-12-01,17898,30055,43721,1,31,577.35,969.52,1410.35,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,502H,EOG RESOURCES,OIL,ACTIVE,COM,10
130550918,30025462130000,3002546213,2020-03-01,54338,79035,138217,1,30,1811.27,2634.50,4607.23,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,503H,EOG RESOURCES,OIL,ACTIVE,COM,1
130550918,30025462130000,3002546213,2020-04-01,26276,39881,52375,1,29,906.07,1375.21,1806.03,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,503H,EOG RESOURCES,OIL,ACTIVE,COM,2
130550918,30025462130000,3002546213,2020-05-01,21637,34062,40696,1,31,697.97,1098.77,1312.77,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,503H,EOG RESOURCES,OIL,ACTIVE,COM,3
130550918,30025462130000,3002546213,2020-06-01,2456,4123,4510,1,4,614.00,1030.75,1127.50,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,503H,EOG RESOURCES,OIL,ACTIVE,COM,4
130550918,30025462130000,3002546213,2020-07-01,21110,32505,37158,1,31,680.97,1048.55,1198.65,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,503H,EOG RESOURCES,OIL,ACTIVE,COM,5
130550918,30025462130000,3002546213,2020-08-01,16831,31537,31504,1,31,542.94,1017.32,1016.26,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,503H,EOG RESOURCES,OIL,ACTIVE,COM,6
130550918,30025462130000,3002546213,2020-09-01,13868,27186,26010,1,30,462.27,906.20,867.00,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,503H,EOG RESOURCES,OIL,ACTIVE,COM,7
130550918,30025462130000,3002546213,2020-10-01,8581,18133,16157,1,23,373.09,788.39,702.48,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,503H,EOG RESOURCES,OIL,ACTIVE,COM,8
130550918,30025462130000,3002546213,2020-11-01,4753,8834,28338,1,15,316.87,588.93,1889.20,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,503H,EOG RESOURCES,OIL,ACTIVE,COM,9
130550918,30025462130000,3002546213,2020-12-01,13357,21184,45730,1,31,430.87,683.35,1475.16,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,503H,EOG RESOURCES,OIL,ACTIVE,COM,10
130544479,30025462160000,3002546216,2020-03-01,57609,84397,143782,1,30,1920.30,2813.23,4792.73,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,506H,EOG RESOURCES,OIL,ACTIVE,COM,1
130544479,30025462160000,3002546216,2020-04-01,29596,47401,62747,1,30,986.53,1580.03,2091.57,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,506H,EOG RESOURCES,OIL,ACTIVE,COM,2
130544479,30025462160000,3002546216,2020-05-01,21754,33731,44186,1,31,701.74,1088.10,1425.35,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,506H,EOG RESOURCES,OIL,ACTIVE,COM,3
130544479,30025462160000,3002546216,2020-06-01,18186,29599,35198,1,30,606.20,986.63,1173.27,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,506H,EOG RESOURCES,OIL,ACTIVE,COM,4
130544479,30025462160000,3002546216,2020-07-01,16899,27128,31956,1,31,545.13,875.10,1030.84,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,506H,EOG RESOURCES,OIL,ACTIVE,COM,5
130544479,30025462160000,3002546216,2020-08-01,14624,25066,29699,1,31,471.74,808.58,958.03,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,506H,EOG RESOURCES,OIL,ACTIVE,COM,6
130544479,30025462160000,3002546216,2020-09-01,13400,23539,26460,1,30,446.67,784.63,882.00,"BONE SPRING, EAST",GETTY 5 FEDERAL COM,506H,EOG RESOURCES,OIL,ACTIVE,COM,7
